anno	geneIDs	geneNames
239	ACTL8|81569	81569	ACTL8
240	ACTL9|284382	284382	ACTL9
241	ACTN1|87	87	ACTN1
242	ACTN2|88	88	ACTN2
243	ACTN3|89	89	ACTN3
244	ACTN4|81	81	ACTN4
245	ACTR10|55860	55860	ACTR10
246	ACTR1A|10121	10121	ACTR1A
247	ACTR1B|10120	10120	ACTR1B
248	ACTR2|10097	10097	ACTR2
249	ACTR3B|57180	57180	ACTR3B
250	ACTR3C|653857	653857	ACTR3C
251	ACTR3|10096	10096	ACTR3
252	ACTR5|79913	79913	ACTR5
253	ACTR6|64431	64431	ACTR6
254	ACTR8|93973	93973	ACTR8
255	ACTRT1|139741	139741	ACTRT1
256	ACTRT2|140625	140625	ACTRT2
257	ACVR1B|91	91	ACVR1B
258	ACVR1C|130399	130399	ACVR1C
259	ACVR1|90	90	ACVR1
260	ACVR2A|92	92	ACVR2A
261	ACVR2B|93	93	ACVR2B
262	ACVRL1|94	94	ACVRL1
263	ACY1|95	95	ACY1
264	ACY3|91703	91703	ACY3
265	ACYP1|97	97	ACYP1
266	ACYP2|98	98	ACYP2
267	ADAD1|132612	132612	ADAD1
268	ADAD2|161931	161931	ADAD2
269	ADAL|161823	161823	ADAL
270	ADAM10|102	102	ADAM10
271	ADAM11|4185	4185	ADAM11
272	ADAM12|8038	8038	ADAM12
273	ADAM15|8751	8751	ADAM15
274	ADAM17|6868	6868	ADAM17
275	ADAM18|8749	8749	ADAM18
276	ADAM19|8728	8728	ADAM19
277	ADAM20|8748	8748	ADAM20
278	ADAM21P1|145241	145241	ADAM21P1
279	ADAM21|8747	8747	ADAM21
280	ADAM22|53616	53616	ADAM22
281	ADAM23|8745	8745	ADAM23
282	ADAM28|10863	10863	ADAM28
283	ADAM29|11086	11086	ADAM29
284	ADAM2|2515	2515	ADAM2
285	ADAM30|11085	11085	ADAM30
286	ADAM32|203102	203102	ADAM32
287	ADAM33|80332	80332	ADAM33
288	ADAM3A|1587	1587	ADAM3A
289	ADAM5P|255926	255926	ADAM5P
290	ADAM6|8755	8755	ADAM6
291	ADAM7|8756	8756	ADAM7
292	ADAM8|101	101	ADAM8
293	ADAM9|8754	8754	ADAM9
294	ADAMDEC1|27299	27299	ADAMDEC1
295	ADAMTS10|81794	81794	ADAMTS10
296	ADAMTS12|81792	81792	ADAMTS12
297	ADAMTS13|11093	11093	ADAMTS13
298	ADAMTS14|140766	140766	ADAMTS14
299	ADAMTS15|170689	170689	ADAMTS15
300	ADAMTS16|170690	170690	ADAMTS16
301	ADAMTS17|170691	170691	ADAMTS17
302	ADAMTS18|170692	170692	ADAMTS18
303	ADAMTS19|171019	171019	ADAMTS19
304	ADAMTS1|9510	9510	ADAMTS1
305	ADAMTS20|80070	80070	ADAMTS20
306	ADAMTS2|9509	9509	ADAMTS2
307	ADAMTS3|9508	9508	ADAMTS3
308	ADAMTS4|9507	9507	ADAMTS4
309	ADAMTS5|11096	11096	ADAMTS5
310	ADAMTS6|11174	11174	ADAMTS6
311	ADAMTS7|11173	11173	ADAMTS7
312	ADAMTS8|11095	11095	ADAMTS8
313	ADAMTS9|56999	56999	ADAMTS9
314	ADAMTSL1|92949	92949	ADAMTSL1
315	ADAMTSL2|9719	9719	ADAMTSL2
316	ADAMTSL3|57188	57188	ADAMTSL3
317	ADAMTSL4|54507	54507	ADAMTSL4
318	ADAMTSL5|339366	339366	ADAMTSL5
319	ADAP1|11033	11033	ADAP1
320	ADAP2|55803	55803	ADAP2
321	ADARB1|104	104	ADARB1
322	ADARB2|105	105	ADARB2
323	ADAR|103	103	ADAR
324	ADAT1|23536	23536	ADAT1
325	ADAT2|134637	134637	ADAT2
326	ADAT3|113179	113179	ADAT3
327	ADA|100	100	ADA
328	ADCK1|57143	57143	ADCK1
329	ADCK2|90956	90956	ADCK2
330	ADCK4|79934	79934	ADCK4
331	ADCK5|203054	203054	ADCK5
332	ADCY10|55811	55811	ADCY10
333	ADCY1|107	107	ADCY1
334	ADCY2|108	108	ADCY2
335	ADCY3|109	109	ADCY3
336	ADCY4|196883	196883	ADCY4
337	ADCY5|111	111	ADCY5
338	ADCY6|112	112	ADCY6
339	ADCY7|113	113	ADCY7
340	ADCY8|114	114	ADCY8
341	ADCY9|115	115	ADCY9
342	ADCYAP1R1|117	117	ADCYAP1R1
343	ADCYAP1|116	116	ADCYAP1
344	ADC|113451	113451	ADC
345	ADD1|118	118	ADD1
346	ADD2|119	119	ADD2
347	ADD3|120	120	ADD3
348	ADH1A|124	124	ADH1A
349	ADH1B|125	125	ADH1B
350	ADH1C|126	126	ADH1C
351	ADH4|127	127	ADH4
352	ADH5|128	128	ADH5
353	ADH6|130	130	ADH6
354	ADH7|131	131	ADH7
355	ADHFE1|137872	137872	ADHFE1
356	ADI1|55256	55256	ADI1
357	ADIG|149685	149685	ADIG
358	ADIPOQ|9370	9370	ADIPOQ
359	ADIPOR1|51094	51094	ADIPOR1
360	ADIPOR2|79602	79602	ADIPOR2
361	ADK|132	132	ADK
362	ADM2|79924	79924	ADM2
363	ADM|133	133	ADM
364	ADNP2|22850	22850	ADNP2
365	ADNP|23394	23394	ADNP
366	ADORA1|134	134	ADORA1
367	ADORA2A|135	135	ADORA2A
368	ADORA2B|136	136	ADORA2B
369	ADORA3|140	140	ADORA3
370	ADO|84890	84890	ADO
371	ADPGK|83440	83440	ADPGK
372	ADPRHL1|113622	113622	ADPRHL1
373	ADPRHL2|54936	54936	ADPRHL2
374	ADPRH|141	141	ADPRH
375	ADRA1A|148	148	ADRA1A
376	ADRA1B|147	147	ADRA1B
377	ADRA1D|146	146	ADRA1D
378	ADRA2A|150	150	ADRA2A
379	ADRA2B|151	151	ADRA2B
380	ADRA2C|152	152	ADRA2C
381	ADRB1|153	153	ADRB1
382	ADRB2|154	154	ADRB2
383	ADRB3|155	155	ADRB3
384	ADRBK1|156	156	ADRBK1
385	ADRBK2|157	157	ADRBK2
386	ADRM1|11047	11047	ADRM1
387	ADSL|158	158	ADSL
388	ADSSL1|122622	122622	ADSSL1
389	ADSS|159	159	ADSS
390	AEBP1|165	165	AEBP1
391	AEBP2|121536	121536	AEBP2
392	AEN|64782	64782	AEN
393	AES|166	166	AES
394	AFAP1L1|134265	134265	AFAP1L1
395	AFAP1L2|84632	84632	AFAP1L2
396	AFAP1|60312	60312	AFAP1
397	AFARP1|246182	246182	AFARP1
398	AFF1|4299	4299	AFF1
399	AFF2|2334	2334	AFF2
400	AFF3|3899	3899	AFF3
401	AFF4|27125	27125	AFF4
402	AFG3L1|172	172	AFG3L1
403	AFG3L2|10939	10939	AFG3L2
404	AFMID|125061	125061	AFMID
405	AFM|173	173	AFM
406	AFP|174	174	AFP
407	AFTPH|54812	54812	AFTPH
408	AG2|387763	387763	AG2
409	AGAP11|119385	119385	AGAP11
410	AGAP1|116987	116987	AGAP1
411	AGAP2|116986	116986	AGAP2
412	AGAP3|116988	116988	AGAP3
413	AGAP4|119016	119016	AGAP4
414	AGAP5|729092	729092	AGAP5
415	AGAP6|414189	414189	AGAP6
416	AGAP7|653268	653268	AGAP7
417	AGAP8|728404	728404	AGAP8
418	AGA|175	175	AGA
419	AGBL1|123624	123624	AGBL1
420	AGBL2|79841	79841	AGBL2
421	AGBL3|340351	340351	AGBL3
422	AGBL4|84871	84871	AGBL4
423	AGBL5|60509	60509	AGBL5
424	AGER|177	177	AGER
425	AGFG1|3267	3267	AGFG1
